location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,human_development_index
Albania,2021-02-18,96838,1112,1008.857,1617,17,14.286,33650.01,386.406,350.565,561.888,5.907,4.964,1.02,3935,406318,141.19,1.367,3363,1.169,tests performed,3049,2438,611,1348,254,0.11,0.08,0.02,88,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-11,131803,50,68,2420,4,2.571,45799.917,17.374,23.629,840.92,1.39,0.894,0.62,2956,643271,223.529,1.027,2752,0.956,tests performed,622507,440921,181586,9548,12160,21.63,15.32,6.31,4225,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-12,131845,42,60.857,2423,3,2.857,45814.511,14.594,21.147,841.963,1.042,0.993,0.61,2707,645978,224.469,0.941,2732,0.949,tests performed,632676,444755,187921,10169,10870,21.98,15.45,6.53,3777,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-13,131890,45,54.286,2426,3,2.857,45830.148,15.637,18.864,843.005,1.042,0.993,0.61,2596,648574,225.371,0.902,2700,0.938,tests performed,638338,445402,192936,5662,9445,22.18,15.48,6.7,3282,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-14,131939,49,51.714,2427,1,2.714,45847.175,17.027,17.97,843.353,0.347,0.943,0.6,2964,651538,226.401,1.03,2734,0.95,tests performed,653330,448571,204759,14992,9662,22.7,15.59,7.12,3357,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-18,132071,39,38.286,2436,1,2.286,45893.043,13.552,13.304,846.48,0.347,0.794,0.58,3169,662608,230.248,1.101,2762,0.96,tests performed,688947,460191,228756,8864,9491,23.94,15.99,7.95,3298,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-19,132095,24,35.714,2438,2,2.143,45901.383,8.34,12.41,847.175,0.695,0.745,0.57,3051,665659,231.308,1.06,2812,0.977,tests performed,697811,463402,234409,8864,9305,24.25,16.1,8.15,3233,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-20,132118,23,32.571,2440,2,2,45909.375,7.992,11.318,847.87,0.695,0.695,0.57,3093,668752,232.383,1.075,2883,1.002,tests performed,703743,466083,237660,5932,9344,24.45,16.2,8.26,3247,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-21,132153,35,30.571,2441,1,2,45921.537,12.162,10.623,848.217,0.347,0.695,0.58,3167,671919,233.484,1.1,2912,1.012,tests performed,708846,469169,239677,5103,7931,24.63,16.3,8.33,2756,46.3,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-24,132215,6,26.143,2445,1,1.429,45943.082,2.085,9.084,849.607,0.347,0.496,0.56,2020,680313,236.4,0.702,2982,1.036,tests performed,725135,475237,249898,8519,6436,25.2,16.51,8.68,2236,46.3,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-27,132264,20,20.857,2447,0,1,45960.108,6.95,7.248,850.302,0,0.347,0.56,3137,689507,239.595,1.09,2965,1.03,tests performed,759043,481788,277255,10057,7900,26.38,16.74,9.63,2745,46.3,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-31,132315,6,14.286,2451,1,0.857,45977.83,2.085,4.964,851.692,0.347,0.298,0.6,2325,700064,243.264,0.808,2822,0.981,tests performed,776461,486128,290333,4257,7332,26.98,16.89,10.09,2548,46.3,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-06-01,132337,22,15.429,2451,0,0.571,45985.475,7.645,5.361,851.692,0,0.199,0.6,3661,703725,244.536,1.272,2864,0.995,tests performed,780342,487078,293264,3881,6183,27.12,16.93,10.19,2149,46.3,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Argentina,2021-01-21,1843077,11396,10337.429,46355,139,175.714,40779.85,252.147,228.726,1025.649,3.076,3.888,0.96,39619,5196188,114.971,0.877,40324,0.892,tests performed,265724,249372,16352,17791,11704,0.59,0.55,0.04,259,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-01-22,1853830,10753,10111.857,46575,220,192.571,41017.77,237.92,223.735,1030.517,4.868,4.261,0.95,38425,5234613,115.821,0.85,39297,0.869,tests performed,279602,254456,25146,13878,11263,0.62,0.56,0.06,249,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-01-23,1862192,8362,10030.429,46737,162,206,41202.788,185.017,221.933,1034.101,3.584,4.558,0.94,30112,5264725,116.487,0.666,38132,0.844,tests performed,288064,258876,29188,8462,11124,0.64,0.57,0.06,246,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-01-24,1867223,5031,9711.429,46827,90,202.857,41314.103,111.316,214.875,1036.092,1.991,4.488,0.93,21563,5286288,116.964,0.477,37297,0.825,tests performed,292023,260036,31987,3959,10342,0.65,0.58,0.07,229,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-01-25,1874801,7578,9624.714,47034,207,171.714,41481.774,167.671,212.956,1040.672,4.58,3.799,0.93,37788,5324076,117.8,0.836,36687,0.812,tests performed,292386,260122,32264,363,9046,0.65,0.58,0.07,200,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-01-26,1885210,10409,9377.286,47253,219,169.571,41712.083,230.309,207.481,1045.518,4.846,3.752,0.92,38673,5362749,118.656,0.856,35640,0.789,tests performed,305880,266969,38911,13494,9626,0.68,0.59,0.09,213,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-01-27,1896053,10843,9196,47435,182,174.143,41951.995,239.912,203.47,1049.545,4.027,3.853,0.91,39619,5402368,119.533,0.877,35114,0.777,tests performed,318033,272323,45710,12153,10014,0.7,0.6,0.1,222,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-01-28,1905524,9471,8921,47601,166,178,42161.55,209.555,197.386,1053.218,3.673,3.938,0.91,37335,5439703,120.359,0.826,34788,0.77,tests performed,327999,276548,51451,9966,8896,0.73,0.61,0.11,197,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-01-29,1915362,9838,8790.286,47775,174,171.429,42379.225,217.675,194.494,1057.068,3.85,3.793,0.91,40061,5479764,121.245,0.886,35022,0.775,tests performed,344034,278451,65583,16035,9205,0.76,0.62,0.15,204,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-01-30,1922264,6902,8581.714,47931,156,170.571,42531.938,152.713,189.879,1060.519,3.452,3.774,0.9,36575,5516339,122.054,0.809,35945,0.795,tests performed,366384,281023,85361,22350,11189,0.81,0.62,0.19,248,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-04,1961635,8891,8015.857,48700,161,157,43403.06,196.722,177.359,1077.534,3.562,3.474,0.88,36936,5722745,126.621,0.817,40435,0.895,tests performed,444018,297717,146301,47456,16574,0.98,0.66,0.32,367,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-07,1980347,3658,7586.857,49171,61,171,43817.081,80.937,167.867,1087.956,1.35,3.784,0.87,21403,5808347,128.515,0.474,36881,0.816,tests performed,501152,319316,181836,29769,18576,1.11,0.71,0.4,411,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-08,1985501,5154,7378.286,49398,227,164.143,43931.118,114.037,163.252,1092.978,5.023,3.632,0.87,37667,5846014,129.349,0.833,35922,0.795,tests performed,511582,322318,189264,10430,19390,1.13,0.71,0.42,429,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-09,1993295,7794,7106.714,49566,168,162.857,44103.567,172.45,157.243,1096.695,3.717,3.603,0.87,39734,5885748,130.228,0.879,34750,0.769,tests performed,513178,322975,190203,1596,18139,1.14,0.71,0.42,401,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-10,2001034,7739,6898.571,49674,108,162.143,44274.8,171.233,152.638,1099.085,2.39,3.588,0.87,38205,5923953,131.073,0.845,34021,0.753,tests performed,535303,337772,197531,22125,19820,1.18,0.75,0.44,439,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-11,2008345,7311,6672.857,49874,200,167.714,44436.563,161.763,147.643,1103.51,4.425,3.711,0.87,37305,5961258,131.899,0.825,34073,0.754,tests performed,572928,362649,210279,37625,18416,1.27,0.8,0.47,407,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-12,2015496,7151,6498.143,50029,155,149.143,44594.786,158.223,143.778,1106.94,3.43,3.3,0.87,37500,5998758,132.728,0.83,34326,0.759,tests performed,591632,368023,223609,18704,19133,1.31,0.81,0.49,423,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-13,2021553,6057,6409.143,50188,159,154,44728.803,134.017,141.808,1110.458,3.518,3.407,0.88,33558,6032316,133.471,0.743,35053,0.776,tests performed,606245,371629,234616,14613,19266,1.34,0.82,0.52,426,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-14,2025798,4245,6493,50236,48,152.143,44822.728,93.925,143.664,1111.52,1.062,3.366,0.88,22988,6055304,133.979,0.509,35280,0.781,tests performed,609605,372122,237483,3360,15493,1.35,0.82,0.53,343,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-15,2029057,3259,6222.286,50327,91,132.714,44894.836,72.109,137.674,1113.533,2.013,2.936,0.88,30753,6086057,134.66,0.68,34292,0.759,tests performed,609791,372181,237610,186,14030,1.35,0.82,0.53,310,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-16,2033060,4003,5680.714,50432,105,123.714,44983.406,88.57,125.691,1115.856,2.323,2.737,0.88,31450,6117507,135.356,0.696,33108,0.733,tests performed,611169,373253,237916,1378,13999,1.35,0.83,0.53,310,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-17,2039124,6064,5441.429,50616,184,134.571,45117.578,134.172,120.397,1119.928,4.071,2.978,0.91,42664,6160171,136.3,0.944,33745,0.747,tests performed,612322,374002,238320,1153,11003,1.35,0.83,0.53,243,79.17,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-18,2046795,7671,5492.857,50857,241,140.429,45287.306,169.728,121.535,1125.26,5.332,3.107,0.93,43299,6203470,137.258,0.958,34602,0.766,tests performed,635583,392399,243184,23261,8951,1.41,0.87,0.54,198,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-19,2054681,7886,5597.857,51000,143,138.714,45461.792,174.485,123.858,1128.424,3.164,3.069,0.95,41464,6244934,138.175,0.917,35168,0.778,tests performed,668654,414958,253696,33071,11003,1.48,0.92,0.56,243,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-20,2060625,5944,5581.714,51122,122,133.429,45593.308,131.517,123.501,1131.123,2.699,2.952,0.97,31847,6276781,138.88,0.705,34924,0.773,tests performed,707148,445614,261534,38494,14415,1.56,0.99,0.58,319,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-21,2064334,3709,5505.143,51198,76,137.429,45675.374,82.065,121.807,1132.805,1.682,3.041,0.97,23500,6300281,139.4,0.52,34997,0.774,tests performed,720267,456929,263338,13119,15809,1.59,1.01,0.58,350,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-22,2069751,5417,5813.429,51359,161,147.429,45795.23,119.856,128.628,1136.367,3.562,3.262,0.98,37353,6337634,140.226,0.826,35940,0.795,tests performed,722234,458822,263412,1967,16063,1.6,1.02,0.58,355,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-23,2077228,7477,6309.714,51510,151,154,45960.666,165.436,139.608,1139.708,3.341,3.407,0.99,38068,6375702,141.069,0.842,36885,0.816,tests performed,746615,481689,264926,24381,19349,1.65,1.07,0.59,428,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-24,2085411,8183,6612.429,51650,140,147.714,46141.722,181.057,146.306,1142.806,3.098,3.268,0.99,37161,6412863,141.891,0.822,36099,0.799,tests performed,780455,513394,267061,33840,24019,1.73,1.14,0.59,531,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-25,2093645,8234,6692.857,51795,145,134,46323.908,182.185,148.086,1146.014,3.208,2.965,0.98,32844,6445707,142.617,0.727,34605,0.766,tests performed,829832,558831,271001,49377,27750,1.84,1.24,0.6,614,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-26,2098728,5083,6292.429,51887,92,126.714,46436.374,112.466,139.226,1148.05,2.036,2.804,0.98,35510,6481217,143.403,0.786,33755,0.747,tests performed,903915,620635,283280,74083,33609,2,1.37,0.63,744,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-27,2104197,5469,6224.571,51946,59,117.714,46557.381,121.007,137.725,1149.355,1.305,2.605,0.98,29435,6510652,144.054,0.651,33410,0.739,tests performed,984895,694470,290425,80980,39678,2.18,1.54,0.64,878,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-02-28,2107365,3168,6147.286,51965,19,109.571,46627.476,70.095,136.015,1149.776,0.42,2.424,0.99,24607,6535259,144.599,0.544,33568,0.743,tests performed,1025003,731571,293432,40108,43534,2.27,1.62,0.65,963,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-01,2112023,4658,6038.857,52077,112,102.571,46730.539,103.063,133.616,1152.254,2.478,2.269,0.99,32024,6567283,145.307,0.709,32807,0.726,tests performed,1049169,755212,293957,24166,46705,2.32,1.67,0.65,1033,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-02,2118676,6653,5921.143,52192,115,97.429,46877.743,147.204,131.011,1154.798,2.544,2.156,1,34520,6601803,146.071,0.764,32300,0.715,tests performed,1126108,823446,302662,76939,54213,2.49,1.82,0.67,1200,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-03,2126531,7855,5874.286,52453,261,114.714,47051.542,173.799,129.974,1160.573,5.775,2.538,1.01,33940,6635743,146.822,0.751,31840,0.704,tests performed,1181292,874916,306376,55184,57262,2.61,1.94,0.68,1267,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-04,2133963,7432,5759.714,52644,191,121.286,47215.982,164.44,127.439,1164.799,4.226,2.684,1.01,32716,6668459,147.546,0.724,31822,0.704,tests performed,1252461,941695,310766,71169,60376,2.77,2.08,0.69,1336,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-05,2141854,7891,6160.857,52784,140,128.143,47390.578,174.596,136.315,1167.897,3.098,2.835,1.02,33654,6702113,148.291,0.745,31557,0.698,tests performed,1357596,1030504,327092,105135,64812,3,2.28,0.72,1434,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-08,2154694,5058,6095.857,53121,241,149.143,47674.675,111.913,134.877,1175.353,5.332,3.3,1.04,31349,6775467,149.914,0.694,29741,0.658,tests performed,1546699,1202998,343701,20621,71076,3.42,2.66,0.76,1573,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-09,2162001,7307,6189.286,53252,131,151.429,47836.35,161.674,136.944,1178.252,2.899,3.351,1.05,34788,6810255,150.683,0.77,29779,0.659,tests performed,1648957,1301787,347170,102258,74693,3.65,2.88,0.77,1653,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-10,2169694,7693,6166.143,53359,107,129.429,48006.565,170.215,136.432,1180.619,2.367,2.864,1.06,35125,6845380,151.461,0.777,29948,0.663,tests performed,1774438,1424984,349454,125481,84735,3.93,3.15,0.77,1875,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-11,2177898,8204,6276.429,53493,134,121.286,48188.086,181.521,138.872,1183.584,2.965,2.684,1.07,32247,6877627,152.174,0.713,29881,0.661,tests performed,1919074,1564555,354519,144636,95230,4.25,3.46,0.78,2107,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-12,2185747,7849,6270.429,53578,85,113.429,48361.753,173.667,138.739,1185.465,1.881,2.51,1.07,35775,6913402,152.966,0.792,30184,0.668,tests performed,2098205,1719543,378662,179131,105801,4.64,3.8,0.84,2341,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-13,2192025,6278,6473,53646,68,110.857,48500.66,138.907,143.221,1186.969,1.505,2.453,1.08,27958,6941360,153.584,0.619,30625,0.678,tests performed,2294738,1876113,418625,196533,121843,5.08,4.15,0.93,2696,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-14,2195722,3697,6583.714,53670,24,112.857,48582.459,81.8,145.671,1187.5,0.531,2.497,1.08,19389,6960749,154.013,0.429,30947,0.685,tests performed,2381429,1932696,448733,86691,122193,5.27,4.28,0.99,2704,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-15,2201886,6164,6741.714,53836,166,102.143,48718.844,136.384,149.167,1191.173,3.673,2.26,1.09,34920,6995669,154.786,0.773,31457,0.696,tests performed,2404194,1952883,451311,22765,122499,5.32,4.32,1,2710,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-16,2210121,8235,6874.286,54036,200,112,48901.051,182.207,152.1,1195.598,4.425,2.478,1.09,36644,7032313,155.597,0.811,31723,0.702,tests performed,2541362,2064529,476833,137168,127486,5.62,4.57,1.06,2821,70.37,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-17,2218425,8304,6961.571,54231,195,124.571,49084.785,183.734,154.031,1199.913,4.315,2.756,1.1,36012,7068325,156.393,0.797,31849,0.705,tests performed,2668103,2170116,497987,126741,127666,5.9,4.8,1.1,2825,70.37,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-18,2226753,8328,6979.286,54386,155,127.571,49269.05,184.265,154.423,1203.343,3.43,2.823,1.1,34031,7102356,157.146,0.753,32104,0.71,tests performed,2805153,2289249,515904,137050,126583,6.21,5.07,1.14,2801,70.37,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-19,2234913,8160,7023.714,54476,90,128.286,49449.598,180.548,155.406,1205.334,1.991,2.838,1.11,37900,7140256,157.985,0.839,32408,0.717,tests performed,2939364,2382859,556505,134211,120166,6.5,5.27,1.23,2659,70.37,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-20,2241739,6826,7102,54517,41,124.429,49600.63,151.032,157.139,1206.241,0.907,2.753,1.12,28217,7168473,158.609,0.624,32445,0.718,tests performed,3063864,2472426,591438,124500,109875,6.78,5.47,1.31,2431,70.37,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-21,2245771,4032,7149.857,54545,28,125,49689.842,89.212,158.197,1206.861,0.62,2.766,1.13,18604,7187077,159.021,0.412,32333,0.715,tests performed,3119828,2514480,605348,55964,105486,6.9,5.56,1.34,2334,70.37,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-22,2252172,6401,7183.714,54671,126,119.286,49831.47,141.628,158.947,1209.648,2.788,2.639,1.15,36319,7223396,159.825,0.804,32532,0.72,tests performed,3142444,2535054,607390,22616,105464,6.95,5.61,1.34,2333,70.37,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-23,2261577,9405,7350.857,54823,152,112.429,50039.565,208.095,162.645,1213.012,3.363,2.488,1.17,41748,7265144,160.748,0.924,33262,0.736,tests performed,3240731,2618750,621981,98287,99910,7.17,5.79,1.38,2211,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-24,2269877,8300,7350.286,54946,123,102.143,50223.21,183.645,162.632,1215.733,2.721,2.26,1.18,28356,7293500,161.376,0.627,32168,0.712,tests performed,3328933,2694454,634479,88202,94404,7.37,5.96,1.4,2089,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-25,2278115,8238,7337.429,55092,146,100.857,50405.484,182.274,162.348,1218.963,3.23,2.232,1.21,40337,7333837,162.268,0.892,33069,0.732,tests performed,3365839,2730260,635579,36906,80098,7.45,6.04,1.41,1772,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-26,2291051,12936,8019.714,55235,143,108.429,50691.705,286.221,177.444,1222.127,3.164,2.399,1.24,47167,7381004,163.312,1.044,34393,0.761,tests performed,3474415,2824344,650071,108576,76436,7.69,6.25,1.44,1691,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-27,2301389,10338,8521.429,55368,133,121.571,50920.443,228.738,188.545,1225.07,2.943,2.69,1.26,37416,7418420,164.14,0.828,35707,0.79,tests performed,3570460,2908932,661528,96045,72371,7.9,6.44,1.46,1601,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-28,2308597,7208,8975.143,55449,81,129.143,51079.927,159.484,198.584,1226.862,1.792,2.857,1.27,24419,7442839,164.68,0.54,36537,0.808,tests performed,3625283,2959843,665440,54823,72208,8.02,6.55,1.47,1598,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-29,2322611,14014,10062.714,55611,162,134.286,51390,310.073,222.647,1230.447,3.584,2.971,1.28,44215,7487054,165.658,0.978,37665,0.833,tests performed,3646068,2980182,665886,20785,71946,8.07,6.59,1.47,1592,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-30,2332765,10154,10169.714,55736,125,130.429,51614.667,224.667,225.015,1233.213,2.766,2.886,1.27,48940,7535994,166.741,1.083,38693,0.856,tests performed,3744566,3073630,670936,98498,71976,8.29,6.8,1.48,1593,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-03-31,2348821,16056,11277.714,55858,122,130.286,51969.922,355.254,249.53,1235.912,2.699,2.883,1.28,50945,7586939,167.868,1.127,41920,0.928,tests performed,3891932,3214538,677394,147366,80428,8.61,7.11,1.5,1780,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-01,2363251,14430,12162.286,55941,83,121.286,52289.199,319.278,269.102,1237.748,1.836,2.684,1.28,44496,7631435,168.853,0.985,42514,0.941,tests performed,4023017,3342427,680590,131085,93883,8.9,7.4,1.51,2077,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-02,2373153,9902,11728.857,56023,82,112.571,52508.291,219.091,259.512,1239.563,1.814,2.491,1.27,34128,7665563,169.608,0.755,40651,0.899,tests performed,4123152,3440284,682868,100135,92677,9.12,7.61,1.51,2051,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-03,2383537,10384,11735.429,56106,83,105.429,52738.047,229.756,259.658,1241.399,1.836,2.333,1.29,38553,7704116,170.461,0.853,40814,0.903,tests performed,4178896,3495125,683771,55744,86919,9.25,7.73,1.51,1923,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-04,2393492,9955,12127.857,56199,93,107.143,52958.311,220.264,268.34,1243.457,2.058,2.371,1.31,34477,7738593,171.224,0.763,42251,0.935,tests performed,4234505,3550166,684339,55609,87032,9.37,7.86,1.51,1926,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-05,2407159,13667,12078.286,56471,272,122.857,53260.706,302.396,267.244,1249.475,6.018,2.718,1.33,60371,7798964,172.56,1.336,44559,0.986,tests performed,4260808,3576423,684385,26303,87820,9.43,7.91,1.51,1943,71.76,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-06,2428029,20870,13609.143,56634,163,128.286,53722.475,461.769,301.115,1253.082,3.607,2.838,1.35,67830,7866794,174.06,1.501,47257,1.046,tests performed,4404175,3712009,692166,143367,94230,9.74,8.21,1.53,2085,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-07,2450068,22039,14463.857,56832,198,139.143,54210.109,487.634,320.027,1257.463,4.381,3.079,1.35,70752,7937546,175.626,1.565,50087,1.108,tests performed,4571819,3870734,701085,167644,97127,10.12,8.56,1.55,2149,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-08,2473751,23683,15785.714,57122,290,168.714,54734.118,524.009,349.274,1263.879,6.417,3.733,1.35,56427,7993973,176.874,1.249,51791,1.146,tests performed,4771214,4064154,707060,199395,106885,10.56,8.99,1.56,2365,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-09,2497881,24130,17818.286,57350,228,189.571,55268.018,533.899,394.247,1268.924,5.045,4.194,1.34,60016,8053989,178.202,1.328,55489,1.228,tests performed,4956023,4244964,711059,184809,118982,10.97,9.39,1.57,2633,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-10,2517300,19419,19109,57647,297,220.143,55697.682,429.664,422.805,1275.495,6.571,4.871,1.32,45874,8099863,179.217,1.015,56535,1.251,tests performed,5201468,4478948,722520,245445,146082,11.51,9.91,1.6,3232,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-11,2532562,15262,19867.143,57779,132,225.714,56035.368,337.686,439.58,1278.416,2.921,4.994,1.3,27760,8127623,179.831,0.614,55576,1.23,tests performed,5313612,4586426,727186,112144,154158,11.76,10.15,1.61,3411,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
Argentina,2021-04-12,2551999,19437,20691.429,57957,178,212.286,56465.43,430.062,457.818,1282.354,3.938,4.697,1.28,50583,8178206,180.951,1.119,54177,1.199,tests performed,5390000,4661085,728915,76388,161313,11.93,10.31,1.61,3569,77.31,45195777,16.177,31.9,18933.907,0.6,191.032,5.5,0.845
