location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
United Kingdom,2021-03-15,4276840,5130,5835.857,125817,64,145.143,63000.32,75.568,85.966,1853.357,0.943,2.138,0.88,1573774,104422879,1538.209,23.183,1365679,20.117,tests performed,26503552,24839906,1663646,440051,389942,39.04,36.59,2.45,5744,78.7,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,NA
Turkey,2021-05-18,5139485,11937,11436,45186,203,228.143,60938.367,141.536,135.596,535.766,2.407,2.705,0.65,217276,51294008,608.188,2.576,209079,2.479,tests performed,26537163,15202819,11334344,586229,194070,31.46,18.03,13.44,2301,76.85,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.82,NA
Brazil,2021-04-10,13445006,71832,70201.286,351334,2616,3020.143,63252.933,337.938,330.267,1652.874,12.307,14.208,0.99,NA,NA,NA,NA,NA,NA,no information,26548845,20513828,6035017,813531,798868,12.49,9.65,2.84,3758,70.83,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.765,NA
Mexico,2021-05-24,2397307,703,2080.286,221695,48,171.714,18593.468,5.452,16.135,1719.462,0.372,1.332,1.02,16181,6595140,51.152,0.125,12621,0.098,people tested,26655760,18338034,11794554,176894,479125,20.67,14.22,9.15,3716,44.44,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA
Poland,2021-06-21,2878840,73,176,74829,1,36.429,76066.004,1.929,4.65,1977.165,0.026,0.963,0.54,27351,16611422,438.914,0.723,46673,1.233,people tested,26665528,16184242,11337728,170966,282557,70.46,42.76,29.96,7466,NA,37846605,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,0.88,NA
Italy,2021-05-14,4146722,7562,7710.714,123927,182,208.143,68584.132,125.071,127.53,2049.673,3.01,3.443,0.73,298186,62405408,1032.146,4.932,267547,4.425,tests performed,26724767,18605423,8346467,553237,479537,44.2,30.77,13.8,7931,74.07,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,NA
Brazil,2021-04-11,13482023,37017,71009.571,353137,1803,3100.571,63427.082,174.149,334.069,1661.357,8.482,14.587,0.98,NA,NA,NA,NA,NA,NA,no information,26741261,20654434,6086827,192416,810162,12.58,9.72,2.86,3811,70.83,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.765,NA
Russia,2021-05-24,4952412,8283,8496.286,116812,315,364.143,33935.864,56.758,58.22,800.442,2.159,2.495,1.01,206525,136195853,933.267,1.415,309082,2.118,tests performed,26802324,15610238,11192086,329814,387827,18.37,10.7,7.67,2658,36.57,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,NA
Turkey,2021-05-19,5151038,11553,11225.143,45419,233,228.286,61075.35,136.983,133.095,538.529,2.763,2.707,0.65,218683,51512691,610.781,2.593,207720,2.463,tests performed,26821460,15366071,11455389,284297,210369,31.8,18.22,13.58,2494,76.85,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.82,NA
Germany,2021-04-27,3338564,25911,20004.286,82325,316,235,39847.3,309.26,238.76,982.587,3.772,2.805,0.97,NA,NA,NA,NA,201230,2.402,tests performed,26826284,20684170,6142691,783577,538921,32.02,24.69,7.33,6432,75,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,NA
Spain,2021-05-30,3668658,0,4600.714,79905,0,40.714,78465.94,0,98.401,1709.023,0,0.871,0.98,NA,NA,NA,NA,104620,2.238,tests performed,26827637,18032417,9221285,NA,327654,57.38,38.57,19.72,7008,61.57,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,0.904,0.52
