location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
Denmark,2020-12-17,124366,4036,3334.143,992,17,10.571,21471.278,696.799,575.626,171.265,2.935,1.825,1.24,133887,9137275,1577.513,23.115,114623,19.789,tests performed,1,1,NA,NA,NA,0,0,NA,NA,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Denmark,2020-12-18,128874,4508,3538.714,1007,15,11.429,22249.565,778.288,610.944,173.854,2.59,1.973,1.2,130243,9267518,1599.999,22.486,118604,20.476,tests performed,2,2,NA,1,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Liechtenstein,2021-01-04,2224,2,26.571,41,2,0.857,58316.071,52.443,696.736,1075.071,52.443,22.475,0.8,276,21412,561.45,7.237,143,3.75,tests performed,2,2,NA,2,0,0.01,0.01,NA,0,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-05,2246,22,25.286,45,4,1,58892.939,576.868,663.023,1179.956,104.885,26.221,0.78,173,21585,565.986,4.536,139,3.645,tests performed,2,2,NA,0,0,0.01,0.01,NA,0,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Denmark,2020-12-19,132164,3290,3500.571,1019,12,12,22817.57,568.005,604.359,175.926,2.072,2.072,1.15,115116,9382634,1619.873,19.874,122828,21.206,tests performed,3,3,NA,1,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Denmark,2020-12-21,138204,3205,3508.857,1053,18,14.714,23860.352,553.33,605.79,181.796,3.108,2.54,1.06,168293,9671854,1669.806,29.055,134224,23.173,tests performed,4,4,NA,NA,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Canada,2020-12-14,472820,8377,6606.857,13677,140,111.571,12527.636,221.953,175.052,362.38,3.709,2.956,1.04,131408,16008664,424.159,3.482,126618,3.355,tests performed,5,5,NA,NA,NA,0,0,NA,NA,70.83,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.929,NA
Denmark,2020-12-22,140750,2546,3444.857,1070,17,15.571,24299.908,439.556,594.74,184.731,2.935,2.688,1.02,163526,9835380,1698.038,28.232,138371,23.889,tests performed,5,5,NA,1,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Liechtenstein,2021-01-06,2295,49,27.286,48,3,1.286,60177.78,1284.841,715.466,1258.62,78.664,33.713,0.77,76,21661,567.979,1.993,123,3.225,tests performed,5,5,NA,3,1,0.01,0.01,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-07,2309,14,24.714,48,0,1.286,60544.878,367.098,648.04,1258.62,0,33.713,0.72,171,21832,572.462,4.484,128,3.356,tests performed,6,6,NA,1,1,0.02,0.02,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-08,2311,2,19.429,48,0,1.286,60597.32,52.443,509.442,1258.62,0,33.713,0.69,118,21950,575.557,3.094,135,3.54,tests performed,6,6,NA,0,1,0.02,0.02,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-09,2329,18,18.143,49,1,1.429,61069.303,471.983,475.728,1284.841,26.221,37.459,0.68,39,21989,576.579,1.023,130,3.409,tests performed,6,6,NA,0,1,0.02,0.02,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-10,2340,11,16.857,49,0,1.429,61357.737,288.434,442.015,1284.841,0,37.459,0.66,51,22040,577.916,1.337,129,3.383,tests performed,6,6,NA,0,1,0.02,0.02,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-11,2346,6,17.429,49,0,1.143,61515.064,157.328,456.999,1284.841,0,29.967,0.65,226,22266,583.842,5.926,122,3.199,tests performed,6,6,NA,0,1,0.02,0.02,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Norway,2020-12-22,44932,596,440,405,0,1.429,8288.138,109.938,81.162,74.706,0,0.264,1.08,26569,2616591,482.655,4.901,22263,4.107,people tested,6,6,NA,6,1,0,0,NA,0,56.02,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA
Norway,2020-12-23,45455,523,449,421,16,2.714,8384.61,96.472,82.822,77.657,2.951,0.501,1.07,18386,2634977,486.047,3.391,21580,3.981,people tested,6,6,NA,0,1,0,0,NA,0,56.02,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA
Denmark,2020-12-23,144053,3303,3389,1096,26,17.286,24870.157,570.249,585.097,189.22,4.489,2.984,0.99,120590,9955970,1718.857,20.819,136083,23.494,tests performed,8,8,NA,3,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Denmark,2020-12-24,146927,2874,3223,1114,18,17.429,25366.342,496.184,556.438,192.328,3.108,3.009,0.96,38866,9994836,1725.567,6.71,122509,21.151,tests performed,9,9,NA,1,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Denmark,2020-12-26,151764,1838,2800,1153,19,19.143,26201.43,317.323,483.408,199.061,3.28,3.305,0.91,62850,10097068,1743.217,10.851,102062,17.621,tests performed,10,10,NA,NA,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Liechtenstein,2021-01-12,2355,9,15.571,49,0,0.571,61751.055,235.991,408.302,1284.841,0,14.984,0.64,189,22455,588.798,4.956,124,3.251,tests performed,11,11,NA,5,1,0.03,0.03,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-13,2370,15,10.714,49,0,0.143,62144.374,393.319,280.942,1284.841,0,3.746,0.63,143,22598,592.548,3.75,134,3.514,tests performed,11,11,NA,0,1,0.03,0.03,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-14,2375,5,9.429,49,0,0.143,62275.481,131.106,247.229,1284.841,0,3.746,0.61,83,22681,594.724,2.176,121,3.173,tests performed,11,11,NA,0,1,0.03,0.03,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-15,2378,3,9.571,49,0,0.143,62354.144,78.664,250.975,1284.841,0,3.746,0.61,82,22763,596.874,2.15,116,3.042,tests performed,11,11,NA,0,1,0.03,0.03,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-16,2383,5,7.714,49,0,0,62485.251,131.106,202.278,1284.841,0,0,0.63,71,22834,598.736,1.862,121,3.173,tests performed,11,11,NA,0,1,0.03,0.03,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-17,2389,6,7,49,0,0,62642.578,157.328,183.549,1284.841,0,0,0.65,33,22867,599.601,0.865,118,3.094,tests performed,11,11,NA,0,1,0.03,0.03,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Bolivia,2021-01-29,213392,2666,2162.143,10279,53,58.286,18280.774,228.39,185.226,880.577,4.54,4.993,1.02,8196,550287,47.142,0.702,6374,0.546,tests performed,12,NA,NA,12,12,0,NA,NA,1,25,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.718,NA
Norway,2020-12-24,45931,476,450.714,421,0,2.429,8472.413,87.803,83.139,77.657,0,0.448,1.07,6106,2641083,487.173,1.126,19029,3.51,people tested,12,12,NA,6,2,0,0,NA,0,56.02,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA
Norway,2020-12-25,46248,317,434.429,421,0,2.429,8530.886,58.474,80.135,77.657,0,0.448,1.08,6594,2647677,488.389,1.216,16502,3.044,people tested,12,12,NA,0,2,0,0,NA,0,56.02,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA
Norway,2020-12-26,46678,430,442.286,421,0,2.429,8610.204,79.318,81.584,77.657,0,0.448,1.1,10927,2658604,490.405,2.016,16158,2.98,people tested,12,12,NA,0,2,0,0,NA,0,56.02,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA
Colombia,2021-02-17,2207701,5103,4907.714,58134,185,200.143,43387.891,100.289,96.451,1142.506,3.636,3.933,0.73,49339,10951888,215.237,0.97,47391,0.931,tests performed,18,NA,NA,NA,NA,0,NA,NA,NA,81.02,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,NA
Australia,2021-02-22,28937,7,4.571,909,0,0,1134.79,0.275,0.179,35.647,0,0,1.09,36501,14090307,552.564,1.431,55403,2.173,tests performed,20,20,NA,20,3,0,0,NA,0,53.24,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,NA
France,2020-12-27,2616510,8822,12393.429,62867,173,314.571,38726.249,130.572,183.432,930.477,2.561,4.656,1.04,48016,NA,NA,0.711,424570,6.284,people tested,20,20,NA,NA,NA,0,0,NA,NA,63.89,67564251,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,9.37
Bangladesh,2021-01-27,533444,528,536.714,8072,17,17.429,3239.092,3.206,3.259,49.013,0.103,0.106,0.78,15720,3597848,21.846,0.095,14263,0.087,tests performed,26,26,NA,26,26,0,0,NA,0,81.02,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,NA
Norway,2020-12-27,47059,381,450.571,421,0,2.429,8680.483,70.279,83.112,77.657,0,0.448,1.12,10307,2668911,492.306,1.901,15814,2.917,people tested,26,26,NA,14,4,0,0,NA,1,56.02,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,-5.39
New Zealand,2021-02-19,2350,2,3.143,26,0,0.143,487.326,0.415,0.652,5.392,0,0.03,1.11,10833,1640686,340.234,2.246,8843,1.834,tests performed,29,29,NA,NA,NA,0,0,NA,NA,39.35,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.931,NA
Algeria,2021-01-30,107122,235,250.429,2888,4,3.857,2442.861,5.359,5.711,65.859,0.091,0.088,1,NA,NA,NA,NA,NA,NA,no information,30,30,NA,30,30,0,0,NA,1,72.22,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,NA
San Marino,2021-02-27,3716,45,34.857,74,1,0.286,109493.783,1325.947,1027.083,2180.447,29.465,8.419,1.12,NA,NA,NA,NA,NA,NA,no information,35,35,NA,NA,NA,0.1,0.1,NA,NA,60.19,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,NA,NA
Bolivia,2021-01-30,215397,2005,2201.143,10330,51,57.571,18452.537,171.763,188.567,884.946,4.369,4.932,1,6340,556627,47.685,0.543,6626,0.568,tests performed,39,NA,NA,27,20,0,NA,NA,2,30.56,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.718,NA
Lebanon,2021-02-14,339129,2130,2744.571,3993,32,53.857,49686.013,312.068,402.109,585.017,4.688,7.891,0.95,NA,NA,NA,NA,NA,NA,no information,48,NA,NA,48,48,0,NA,NA,7,92.59,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,78.93,0.744,NA
Costa Rica,2020-12-24,162990,1048,943.143,2086,21,15.143,31995.75,205.728,185.144,409.492,4.122,2.973,1.05,3251,411532,80.786,0.638,2874,0.564,people tested,55,55,NA,NA,NA,0,0,NA,NA,55.56,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,NA
Israel,2020-12-19,372886,2734,2442.857,3074,17,13,43080.612,315.867,282.23,355.148,1.964,1.502,1.38,62141,7286847,841.871,7.179,73265,8.465,tests performed,60,60,NA,NA,NA,0,0,NA,NA,71.3,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,82.97,0.919,NA
Bolivia,2021-01-31,216835,1438,2256.857,10379,49,56.286,18575.727,123.19,193.339,889.144,4.198,4.822,0.99,3978,560605,48.026,0.341,6770,0.58,tests performed,67,NA,NA,28,22,0,NA,NA,2,30.56,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.718,111.8
Senegal,2021-02-23,33242,143,252.286,832,18,10.286,1985.316,8.54,15.067,49.69,1.075,0.614,0.88,1633,386990,23.112,0.098,2141,0.128,tests performed,82,82,NA,82,82,0,0,NA,5,50.46,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,0.512,NA
France,2020-12-28,2619616,3106,11985.714,63235,368,316.571,38772.22,45.971,177.397,935.924,5.447,4.685,1.05,397738,NA,NA,5.887,384281,5.688,people tested,91,91,NA,71,71,0,0,NA,1,63.89,67564251,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,NA
New Zealand,2021-02-20,2350,0,2.857,26,0,0.143,487.326,0,0.592,5.392,0,0.03,1.11,10349,1651035,342.38,2.146,9748,2.021,tests performed,94,94,NA,65,65,0,0,NA,13,39.35,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.931,NA
Zambia,2021-04-15,90532,143,134.286,1230,1,0.714,4924.511,7.779,7.305,66.906,0.054,0.039,0.81,5696,1327186,72.193,0.31,5786,0.315,tests performed,106,106,NA,106,106,0,0,NA,6,39.81,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,NA
Ecuador,2021-01-22,237158,969,1470.286,14562,36,41.286,13441.999,54.922,83.335,825.367,2.04,2.34,1.14,3902,786859,44.599,0.221,4933,0.28,people tested,108,108,NA,108,108,0,0,NA,6,69.44,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,NA
Bahamas,2021-03-14,8658,0,8.286,185,0,0.571,22016.641,0,21.07,470.441,0,1.453,0.94,NA,NA,NA,NA,NA,NA,no information,110,100,NA,110,110,0.03,0.03,NA,280,68.98,393248,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA
Brazil,2021-01-17,8488099,33040,54615.571,209847,551,963.857,39932.831,155.439,256.943,987.239,2.592,4.535,1.06,NA,NA,NA,NA,NA,NA,no information,112,112,NA,112,112,0,0,NA,1,72.69,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.765,NA
Liechtenstein,2021-01-18,2395,6,7,50,1,0.143,62799.906,157.328,183.549,1311.063,26.221,3.746,0.66,190,23057,604.583,4.982,113,2.963,tests performed,116,116,NA,105,16,0.3,0.3,NA,420,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Japan,2021-02-17,419896,1461,1351.714,7218,79,70.714,3319.954,11.552,10.687,57.07,0.625,0.559,0.73,61138,7265527,57.446,0.483,44837,0.355,people tested,125,125,NA,NA,NA,0,0,NA,NA,49.54,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,0.919,NA
Albania,2021-01-12,64627,656,620.571,1252,5,6,22457.085,227.952,215.641,435.055,1.737,2.085,1.08,3727,281722,97.895,1.295,3471,1.206,tests performed,128,128,NA,NA,64,0,0,NA,22,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA
Grenada,2021-02-16,148,0,0,1,0,0,1315.333,0,0,8.887,0,0,0.01,NA,NA,NA,NA,NA,NA,no information,146,146,NA,NA,29,0.13,0.13,NA,258,NA,112519,317.132,29.4,7.304,5.021,13593.877,NA,243.964,10.71,NA,NA,NA,3.7,72.4,0.779,NA
Namibia,2021-03-25,43010,146,189.429,502,0,2.714,16926.966,57.46,74.551,197.567,0,1.068,1,1381,338019,133.03,0.544,1531,0.603,samples tested,152,152,NA,NA,22,0.01,0.01,NA,9,42.59,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,63.71,0.646,NA
Venezuela,2021-02-22,136545,477,424,1320,4,5,4801.845,16.775,14.911,46.42,0.141,0.176,1.02,NA,NA,NA,NA,NA,NA,no information,157,157,NA,NA,31,0,0,NA,1,84.26,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,0.711,NA
Ukraine,2021-02-24,1364861,5990,5424.286,26847,157,118.571,31208.408,136.965,124.03,613.874,3.59,2.711,1.23,34351,6772495,154.857,0.785,25130,0.575,tests performed,159,159,NA,NA,NA,0,0,NA,NA,54.63,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.779,NA
New Zealand,2021-02-21,2357,7,3,26,0,0.143,488.778,1.452,0.622,5.392,0,0.03,1.13,7394,1658429,343.913,1.533,10230,2.121,tests performed,162,162,NA,68,66,0,0,NA,14,39.35,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.931,6.69
Albania,2021-01-13,65334,707,618,1256,4,5.571,22702.759,245.674,214.747,436.445,1.39,1.936,1.07,3307,285029,99.044,1.149,3386,1.177,tests performed,188,188,NA,60,63,0.01,0.01,NA,22,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA
Estonia,2020-12-27,25392,365,514,204,0,4.286,19141.541,275.152,387.474,153.784,0,3.231,1.05,3032,620179,467.517,2.286,4481,3.378,tests performed,191,191,NA,NA,NA,0.01,0.01,NA,NA,55.56,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.892,14.5
Liechtenstein,2021-01-19,2398,3,6.143,50,0,0.143,62878.569,78.664,161.073,1311.063,0,3.746,0.68,152,23209,608.569,3.986,108,2.832,tests performed,191,191,NA,75,26,0.5,0.5,NA,682,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Papua New Guinea,2021-04-13,8821,219,202.143,69,0,0.286,985.914,24.477,22.593,7.712,0,0.032,1.06,NA,NA,NA,NA,943,0.105,tests performed,197,197,NA,NA,14,0,0,NA,2,74.07,8947027,18.22,22.6,3.808,2.142,3823.194,NA,561.494,17.65,23.5,48.8,NA,NA,64.5,0.555,NA
France,2020-12-29,2631110,11494,11933.286,64204,969,340.429,38942.339,170.12,176.621,950.266,14.342,5.039,1.07,366121,NA,NA,5.419,330604,4.893,people tested,199,199,NA,108,90,0,0,NA,1,63.89,67564251,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,NA
Burkina Faso,2021-06-02,13435,0,2.286,167,0,0.143,642.722,0,0.109,7.989,0,0.007,0.78,NA,NA,NA,NA,NA,NA,no information,200,200,NA,NA,NA,0,0,NA,NA,25,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,NA
Paraguay,2021-02-22,152658,940,1080.429,3080,15,18.143,21403.065,131.791,151.479,431.824,2.103,2.544,1.12,3677,730141,102.368,0.516,3705,0.519,tests performed,200,200,NA,200,200,0,0,NA,28,50,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,NA
Mauritius,2021-02-01,582,13,2,10,0,0,457.631,10.222,1.573,7.863,0,0,0.15,NA,NA,NA,NA,NA,NA,no information,207,207,NA,NA,30,0.02,0.02,NA,24,19.44,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA
Liechtenstein,2021-01-20,2405,7,5,50,0,0.143,63062.118,183.549,131.106,1311.063,0,3.746,0.71,188,23397,613.499,4.93,114,2.989,tests performed,247,247,NA,56,34,0.65,0.65,NA,892,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Albania,2021-01-14,65994,660,612.714,1261,5,5.429,22932.101,229.342,212.911,438.182,1.737,1.886,1.06,3695,288724,100.328,1.284,3390,1.178,tests performed,266,266,NA,78,66,0.01,0.01,NA,23,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA
San Marino,2021-03-01,3746,30,36,74,0,0.286,110377.748,883.965,1060.758,2180.447,0,8.419,1.09,NA,NA,NA,NA,NA,NA,no information,275,275,NA,NA,120,0.81,0.81,NA,3536,60.19,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,NA,NA
Belgium,2020-12-28,639734,857,1831.857,19234,34,76.714,55198.895,73.946,158.06,1659.589,2.934,6.619,0.87,29084,6861015,591.997,2.509,29081,2.509,tests performed,301,301,NA,NA,NA,0,0,NA,NA,60.19,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,0.931,NA
Gabon,2021-03-31,19550,410,160.571,118,4,1.286,8783.643,184.209,72.143,53.016,1.797,0.578,1.1,NA,NA,NA,NA,NA,NA,no information,301,301,NA,NA,33,0.01,0.01,NA,15,68.52,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,66.47,0.703,NA
Albania,2021-01-15,66635,641,608.143,1265,4,5,23154.841,222.74,211.322,439.572,1.39,1.737,1.05,3530,292254,101.555,1.227,3333,1.158,tests performed,308,308,NA,42,62,0.01,0.01,NA,22,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA
Liechtenstein,2021-01-21,2415,10,5.714,51,1,0.286,63324.331,262.213,149.836,1337.284,26.221,7.492,0.73,116,23513,616.54,3.042,119,3.12,tests performed,313,313,NA,66,43,0.82,0.82,NA,1128,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Belgium,2020-12-29,641411,1677,1757.429,19361,127,77.143,55343.594,144.698,151.638,1670.547,10.958,6.656,0.88,41459,6902474,595.574,3.577,27593,2.381,tests performed,314,314,10,13,13,0,0,0,1,60.19,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,0.931,NA
Thailand,2021-03-01,26031,0,75.286,83,0,0,372.937,0,1.079,1.189,0,0,0.63,12993,2805745,40.197,0.186,15204,0.218,tests performed,319,319,NA,NA,160,0,0,NA,2,47.22,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,NA
France,2020-12-30,2657624,26514,13572.714,64508,304,344.286,39334.766,392.426,200.886,954.765,4.499,5.096,1.08,399554,NA,NA,5.914,282714,4.184,people tested,322,322,NA,123,101,0,0,NA,1,63.89,67564251,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,NA
Cambodia,2021-02-10,478,2,1.571,NA,NA,0,28.59,0.12,0.094,NA,NA,0,0.9,NA,NA,NA,NA,NA,NA,no information,339,339,NA,339,339,0,0,NA,20,49.07,16718971,90.672,25.6,4.412,2.385,3645.07,NA,270.892,4,2,33.7,66.229,0.8,69.82,0.594,NA
Liechtenstein,2021-01-22,2432,17,7.714,52,1,0.429,63770.092,445.761,202.278,1363.505,26.221,11.238,0.75,114,23627,619.53,2.989,123,3.225,tests performed,343,343,NA,30,47,0.9,0.9,NA,1232,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-23,2437,5,7.714,52,0,0.429,63901.198,131.106,202.278,1363.505,0,11.238,0.75,60,23687,621.103,1.573,122,3.199,tests performed,343,343,NA,0,47,0.9,0.9,NA,1232,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-24,2441,4,7.429,52,0,0.429,64006.083,104.885,194.786,1363.505,0,11.238,0.76,40,23727,622.152,1.049,123,3.225,tests performed,343,343,NA,0,47,0.9,0.9,NA,1232,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Albania,2021-01-16,67216,581,597.571,1270,5,5.286,23356.731,201.89,207.649,441.309,1.737,1.837,1.03,3029,295283,102.607,1.053,3123,1.085,tests performed,369,369,NA,61,62,0.01,0.01,NA,22,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA
